Agent_name,Agent_ID,Subbasin,Hotspot_Number,Hotspot_Name
Upper Mekong in China,1,1,0,NA
Upper Mekong in China,1,2,0,NA
Upper Mekong in China,1,3,0,NA
Upper Mekong in China,1,4,0,NA
Upper Mekong in China,1,5,0,NA
Upper Mekong in China,1,6,0,NA
Upper Mekong in China,1,7,0,NA
Upper Mekong in China,1,8,0,NA
Upper Mekong in China,1,9,0,NA
Upper Mekong in China,1,10,0,NA
Upper Mekong in China,1,11,0,NA
Upper Mekong in China,1,12,2,Golden Quadrangle
Upper Mekong in China,1,13,2,Golden Quadrangle
Myanmar,2,14,2,Golden Quadrangle
Myanmar,2,15,2,Golden Quadrangle
Northern Thailand-Chiang Rai,3,16,1,Nong Bong Kai
Northern Thailand-Chiang Rai,3,17,3,Mekong Channel from Chiang Saen to Chiang Khong
Northern Thailand-Chiang Rai,3,18,4,Mekong Channel upstream of Luang Prabang
Northern Laos,4,19,4,Mekong Channel upstream of Luang Prabang
Northern Laos,4,20,0,NA
Northern Laos,4,21,4,Mekong Channel upstream of Luang Prabang
Northern Laos,4,22,0,NA
Northern Laos,4,23,4,Mekong Channel upstream of Luang Prabang
Northern Laos,4,24,0,NA
Northern Laos,4,25,4,Mekong Channel upstream of Luang Prabang
Northern Laos,4,26,5,Mekong Channel from Luang Prabang to Vientiane
Northern Laos,4,27,5,Mekong Channel from Luang Prabang to Vientiane
Northern Laos,4,28,5,Mekong Channel from Luang Prabang to Vientiane
Northern Thailand-Nong Khai,5,29,5,Mekong Channel from Luang Prabang to Vientiane
Northern Thailand-Nong Khai,5,30,5,Mekong Channel from Luang Prabang to Vientiane
Northern Thailand-Nong Khai,5,31,6,Mekong Channel from Vientiane to the Mun River Confluence
Central Laos,6,32,0,NA
Central Laos,6,33,0,NA
Central Laos,6,34,0,NA
Central Laos,6,35,0,NA
Central Laos,6,36,0,NA
Central Laos,6,37,6,Mekong Channel from Vientiane to the Mun River Confluence
Central Laos,6,38,8,Kut Ting Marshland
Central Laos,6,39,7,Bung Khong Long Non-Hunting Area
Central Laos,6,40,0,NA
Central Laos,6,41,0,NA
Central Laos,6,42,0,NA
Central Laos,6,43,6,Mekong Channel from Vientiane to the Mun River Confluence
Central Laos,6,44,9,Songkhram River
Central Laos,6,45,0,NA
Central Laos,6,46,6,Mekong Channel from Vientiane to the Mun River Confluence
Central Laos,6,47,6,Mekong Channel from Vientiane to the Mun River Confluence
Southern Thailand-Mun/Chi,7,48,0,NA
Southern Thailand-Mun/Chi,7,49,0,NA
Southern Thailand-Mun/Chi,7,50,0,NA
Southern Thailand-Mun/Chi,7,51,0,NA
Southern Thailand-Mun/Chi,7,52,0,NA
Southern Laos,8,53,12,Mekong Channel from Savannakhet to Khone Falls
Southern Laos,8,54,12,Mekong Channel from Savannakhet to Khone Falls
Southern Laos,8,55,12,Mekong Channel from Savannakhet to Khone Falls
Southern Laos,8,56,13,Khone Falls - Siphandone
Southern Laos,8,57,14,Mekong Channel from Lao Border to Kratie
Southern Laos,8,58,14,Mekong Channel from Lao Border to Kratie
Se San/Sre Pok/Se Kong,9,59,0,NA
Se San/Sre Pok/Se Kong,9,60,0,NA
Se San/Sre Pok/Se Kong,9,61,10,Xe Kampho/ Xe Piane
Se San/Sre Pok/Se Kong,9,62,10,Xe Kampho/ Xe Piane
Se San/Sre Pok/Se Kong,9,63,10,Xe Kampho/ Xe Piane
Se San/Sre Pok/Se Kong,9,64,10,Xe Kampho/ Xe Piane
Se San/Sre Pok/Se Kong,9,65,0,NA
Se San/Sre Pok/Se Kong,9,66,0,NA
Se San/Sre Pok/Se Kong,9,67,11,Xe Kong Plains
Se San/Sre Pok/Se Kong,9,68,15,Sekong River
Se San/Sre Pok/Se Kong,9,69,0,NA
Se San/Sre Pok/Se Kong,9,70,16,Sesan River
Se San/Sre Pok/Se Kong,9,71,0,NA
Se San/Sre Pok/Se Kong,9,72,0,NA
Se San/Sre Pok/Se Kong,9,73,0,NA
Cambodia-Kratie,10,74,14,Mekong Channel from Lao Border to Kratie
Cambodia-Kratie,10,75,0,NA
Cambodia-Tonle Sap,11,76,17,Tonle Sap
Cambodia-Tonle Sap,11,77,18,Ang Tropeang Thmor Sarus Crane Reserve
Cambodia-Tonle Sap,11,78,19,Stung/Prasat Balnag
Cambodia-Tonle Sap,11,79,17,Tonle Sap
Cambodia-Tonle Sap,11,80,0,NA
Cambodia-Tonle Sap,11,81,20,Basset Marsh
Delta,12,82,0,NA
Delta,12,83,21,Boeung Veal Samnap
Delta,12,84,22,Bassac march
Delta,12,85,0,NA
Delta,12,86,0,NA
Delta,12,87,23,Boeung Prek Lapouv/ Tra Su/ Tinh Doi
Delta,12,88,0,NA
Delta,12,89,0,NA
